=== E2 encoder start Tue Aug 25 11:27:28 AM AEST 2026 ===
[crb_enc_mse_cyclic_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 81 | train MSE: 0.017160 | val MSE: 0.027561 | total time: 5 hours 6 minutes
Epoch: 82 | train MSE: 0.017067 | val MSE: 0.030075 | total time: 5 hours 10 minutes
Epoch: 83 | train MSE: 0.016874 | val MSE: 0.028225 | total time: 5 hours 13 minutes
Epoch: 84 | train MSE: 0.016926 | val MSE: 0.027975 | total time: 5 hours 17 minutes
Epoch: 85 | train MSE: 0.016901 | val MSE: 0.027609 | total time: 5 hours 20 minutes
Epoch: 86 | train MSE: 0.016751 | val MSE: 0.026154 | total time: 5 hours 24 minutes
Epoch: 87 | train MSE: 0.016608 | val MSE: 0.029589 | total time: 5 hours 27 minutes
Epoch: 88 | train MSE: 0.016639 | val MSE: 0.027687 | total time: 5 hours 31 minutes
Epoch: 89 | train MSE: 0.016504 | val MSE: 0.024864 | total time: 5 hours 34 minutes
Epoch: 90 | train MSE: 0.016502 | val MSE: 0.028350 | total time: 5 hours 38 minutes
Epoch: 91 | train MSE: 0.016328 | val MSE: 0.027594 | total time: 5 hours 41 minutes
Epoch: 92 | train MSE: 0.016054 | val MSE: 0.025975 | total time: 5 hours 45 minutes
Epoch: 93 | train MSE: 0.016109 | val MSE: 0.026366 | total time: 5 hours 48 minutes
Epoch: 94 | train MSE: 0.015931 | val MSE: 0.028241 | total time: 5 hours 52 minutes
Epoch: 95 | train MSE: 0.016109 | val MSE: 0.027271 | total time: 5 hours 55 minutes
Epoch: 96 | train MSE: 0.015800 | val MSE: 0.027633 | total time: 5 hours 59 minutes
Epoch: 97 | train MSE: 0.015924 | val MSE: 0.027454 | total time: 6 hours 2 minutes
Epoch: 98 | train MSE: 0.015754 | val MSE: 0.025985 | total time: 6 hours 6 minutes
Epoch: 99 | train MSE: 0.015594 | val MSE: 0.026972 | total time: 6 hours 9 minutes
Epoch: 100 | train MSE: 0.015552 | val MSE: 0.026689 | total time: 6 hours 13 minutes
finished best_val_mse=0.024864
=== E2 enc+dec DONE Wed Aug 26 12:44:52 AM AEST 2026 ===
