model	patient	ref	tgt	L1_pred	L1_zero	L1_oracle	alpha_oracle	cos	amp_ratio	ratio_pred	ratio_oracle
E1_Decoder	P3	10	1	0.14629532396793365	0.16115839779376984	0.1462276428937912	0.9777458950386171	0.45791265035909595	0.47230932077265836	0.9077735071252317	0.907353540961079
E1_Decoder	P3	10	2	0.2253800630569458	0.25950369238853455	0.22492319345474243	0.9176050199818826	0.4882454157556695	0.5010286439410093	0.8685042628198981	0.8667437113687868
E1_Decoder	P3	10	3	0.4022185206413269	0.5807603001594543	0.39325737953186035	1.217404937428474	0.7847727291156336	0.6076029247415353	0.6925723410000533	0.6771423243356804
E1_Decoder	P3	10	4	0.5305681228637695	0.849814236164093	0.5236877799034119	1.147681296505124	0.8334261535127876	0.687550783053335	0.6243342371606501	0.6162379466214208
E1_Decoder	P3	10	5	0.6117725968360901	1.0809229612350464	0.6026356220245361	1.1293789617185024	0.8678406439163117	0.742463647709424	0.5659724316866096	0.5575194936519562
E1_Decoder	P3	10	6	0.6602778434753418	1.1941416263580322	0.6491557359695435	1.1301350011994868	0.8722725832398385	0.7528222943489095	0.5529309328987203	0.5436170397554763
E1_Decoder	P3	10	7	0.4786941409111023	0.9251977205276489	0.47777774930000305	0.9638786553972087	0.8863790057304182	0.893147553584795	0.5173965848490186	0.5164061029328109
E1_Decoder	P3	10	8	0.29744216799736023	0.5752519965171814	0.29730385541915894	0.9972392621967465	0.8957313903746503	0.9247509629198457	0.5170641211124877	0.5168236828714409
E1_Decoder	P3	10	9	0.18299637734889984	0.31409335136413574	0.18098314106464386	1.1463819850263608	0.845345304551122	0.7493087134567974	0.5826177999442843	0.5762081250004745
E1_Decoder	P4	1	2	0.3974919319152832	0.4703316390514374	0.30778971314430237	3.497658806853402	0.8395084040930486	0.22948241851808182	0.8451311774749899	0.6544099686022637
E1_Decoder	P4	1	3	0.6121944189071655	0.9566752910614014	0.403705894947052	2.0356716880627217	0.9419052379004202	0.44206085792889	0.6399187107968002	0.4219884204379868
E1_Decoder	P4	1	4	0.6806874871253967	1.2203737497329712	0.4997446537017822	1.6443628957259673	0.944549066975431	0.5578913650769316	0.5577696892237622	0.409501313684542
E1_Decoder	P4	1	5	0.684232771396637	1.3707059621810913	0.5381578803062439	1.4685977833108714	0.9474971624932664	0.6311673797810997	0.49918274982029975	0.39261365687059363
E1_Decoder	P4	1	6	0.7248338460922241	1.4616570472717285	0.5917274951934814	1.4365343546076472	0.9452159289648956	0.6489004584402804	0.49589871129152385	0.4048333337139356
E1_Decoder	P4	1	7	0.6768385171890259	1.3928706645965576	0.5697673559188843	1.4421139610817097	0.9415906849932631	0.646735319666065	0.48593062830070505	0.4090597715933061
E1_Decoder	P4	1	8	0.5456960201263428	1.0748262405395508	0.45497575402259827	1.5806255260650288	0.9321800820546638	0.6057607135763198	0.5077062687382934	0.42330168064579954
E1_Decoder	P4	1	9	0.36521419882774353	0.6581152677536011	0.325236976146698	1.6423904057700125	0.9011111050423414	0.5714981577855736	0.5549395626002709	0.4941945462788853
