patient	ref	tgt	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle
P2	4	1	0.651235044002533	0.46947839856147766	0.42791715264320374	0.3529185590530762	0.5255872891424367	1.387145917677945	0.9114735714239012
P2	4	2	0.4407772421836853	0.3559044599533081	0.31338176131248474	0.4390563424174132	0.6031776809139349	1.2384706902563454	0.8805221529215959
P2	4	3	0.19606271386146545	0.1721750944852829	0.15602511167526245	0.5119379369488951	0.5731956156918937	1.1387402716263613	0.9062002384357576
P2	4	5	0.1683375984430313	0.14480984210968018	0.13347025215625763	0.4420724771925691	0.42195900973546785	1.162473461683157	0.9216932372260039
P2	4	6	0.2902493476867676	0.2765655517578125	0.24838730692863464	0.43808312831562524	0.3911507151691527	1.0494775862068966	0.8981136853448276
P2	4	7	0.3365192711353302	0.3781582713127136	0.3324764370918274	0.655180462001022	0.3876686930884346	0.8898900187140147	0.8791991668929802
P2	4	8	0.4231419265270233	0.40495795011520386	0.399318665266037	0.16787227834276405	0.09178374468854535	1.0449033693662426	0.9860743940264352
P2	4	9	0.5461903810501099	0.36999884247779846	0.36782538890838623	0.04220577026530923	0.04900704973532907	1.47619483723894	0.9941257827866241
P2	4	10	0.6751965880393982	0.45732757449150085	0.4294029474258423	0.23650863238115422	0.3514982011357453	1.4763959701973892	0.9389395509406846
P2	5	1	0.8286304473876953	0.5811704397201538	0.5398250222206116	0.33168544623307755	0.49565916928416104	1.425795929653096	0.9288583612073406
P2	5	2	0.6306740641593933	0.49150601029396057	0.44245195388793945	0.40155822519754686	0.5525493280611306	1.283146189366431	0.9001964261297989
P2	5	3	0.37678101658821106	0.3326236605644226	0.3012876510620117	0.46113300872259977	0.5189274357041439	1.1327547052691882	0.9057913996579876
P2	5	4	0.17810232937335968	0.14843416213989258	0.13970597088336945	0.40392868969220236	0.4115706278878711	1.1998742527040789	0.941198231386268
P2	5	6	0.12880724668502808	0.12768317759037018	0.11767032742500305	0.48607144420429577	0.34293641373405204	1.0088035802043094	0.9215805061063714
P2	5	7	0.2309037148952484	0.23740284144878387	0.2245112657546997	0.38668327445445716	0.21227949010383562	0.9726240574296683	0.9456974667387655
P2	5	8	0.4286104440689087	0.3002334535121918	0.30386391282081604	-0.07781475855056952	-0.07992445867566875	1.4275905601289158	1.012092121201533
P2	5	9	0.6686184406280518	0.41372087597846985	0.4082467257976532	0.07853555411329564	0.1149458314976438	1.6161099897285502	0.9867684941740732
P2	5	10	0.8527705073356628	0.5663889646530151	0.541599690914154	0.23704363724369898	0.3586923083915196	1.5056269817299364	0.956232774143035
P2	6	1	0.9367766380310059	0.6363523006439209	0.5999976992607117	0.31060065227769	0.4642297617324223	1.472103797036779	0.942870323016948
P2	6	2	0.7365330457687378	0.5753926634788513	0.5201386213302612	0.38453661717360865	0.5129123439409483	1.2800528969480147	0.903971590783724
P2	6	3	0.49233031272888184	0.44131457805633545	0.396517276763916	0.43120236145069213	0.46819545734333506	1.1155994775818034	0.8984912270749849
P2	6	4	0.3005019724369049	0.2781966030597687	0.2536911368370056	0.4128853805925372	0.3920307451263775	1.0801784390312776	0.9119131364177793
P2	6	5	0.134738489985466	0.12486837804317474	0.11736069619655609	0.4158799681252101	0.33918735333271816	1.0790441270797844	0.9398752353135973
P2	6	7	0.1629214733839035	0.09864707291126251	0.10050162672996521	-0.12089192983425473	-0.14800865818917136	1.6515591246225696	1.0187998869502286
P2	6	8	0.4242159128189087	0.20721088349819183	0.20867469906806946	-0.06846016181452676	-0.12120578481497798	2.047266560796313	1.0070643758916766
P2	6	9	0.746308445930481	0.4278280735015869	0.4226589500904083	0.09436537868611168	0.1531005482007806	1.74441204809743	0.9879177554458464
P2	6	10	0.9327352046966553	0.6014196872711182	0.5814392566680908	0.23534420617367935	0.35764988186821434	1.5508890454332285	0.9667778906711775
P2	7	1	0.8710748553276062	0.6726906299591064	0.6251863837242126	0.3626082052967986	0.46316128481549573	1.2949115336727073	0.9293817334161744
P2	7	2	0.6764864921569824	0.6312504410743713	0.5503600835800171	0.4796277213097089	0.5191071232446005	1.0716610209501327	0.8718569489524933
