scan	P	lung_vox	id_absmean_vox	mean_mag_all_mm	mag_01_to_06_mm	max_pair	max_mag_mm	abs_LR_01_06	abs_AP_01_06	abs_SI_01_06	fold_frac_mean
S73	118	456907	0.0	3.474037546581692	7.299065113067627	07_to_01	8.277229309082031	1.6539075374603271	2.1727542877197266	6.205801010131836	7.302516712805296e-05
S74	118	436034	0.0	2.9824560595883263	6.506526947021484	01_to_07	6.821482181549072	1.3879649639129639	2.0229098796844482	5.554402828216553	0.0
S75	119	1031324	0.0	3.8086272060871122	7.530434608459473	06_to_10	8.149101257324219	1.3834624290466309	3.1922969818115234	5.997474193572998	0.00047885075818036713
S76	119	965475	0.0	3.8587202224466535	9.668990135192871	01_to_06	9.668990135192871	2.142091989517212	3.6612966060638428	7.8657612800598145	0.0014782036185918134
S77	119	849449	0.0	3.060533054669698	5.361746311187744	06_to_01	5.724755764007568	1.4402838945388794	2.1744375228881836	3.8520853519439697	0.000819356082513977
S78	119	858223	0.0	2.1310281402534907	4.193942546844482	07_to_01	4.506664752960205	1.2467546463012695	1.8610572814941406	2.890969753265381	0.004236126685106277
S79	119	894883	0.0	3.8217236310243607	8.218661308288574	07_to_01	9.294183731079102	2.3624024391174316	3.543748617172241	5.899949073791504	0.00010725010725010725
S80	119	901373	0.0	2.549882137775421	5.309935092926025	01_to_07	5.5799384117126465	1.1704691648483276	2.770242929458618	3.795848846435547	2.8692273677033014e-05
S81	119	869473	0.0	2.9499257617526586	6.225038528442383	07_to_01	6.605980396270752	1.6219327449798584	3.0208747386932373	4.39041805267334	0.001144604630843163
S82	119	963422	0.0	1.6545536753204133	3.4082634449005127	06_to_01	3.7251012325286865	1.1631399393081665	1.5619465112686157	2.165635824203491	0.000877922994962582
